Symptoms,frequency,similarity
abdomen acute,"[2, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1]",
akutes abdomen,"[2, 1, 0, 1, 2, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1]",
distended abdomen,"[1, 1, 0, 4, 3, 0, 0, 0, 1, 0, 0, 0, 1, 2, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1]",
pain abdominal,"[3, 1, 0, 1, 0, 0, 0, 0, 2, 0, 0, 1, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",
abdominal schmerzen,"[2, 1, 1, 1, 2, 0, 0, 1, 1, 0, 0, 1, 2, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1]",
bauch schmerzen,"[1, 1, 2, 0, 2, 0, 0, 2, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1]",
aborte spontan,"[2, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 1, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 1]",
abort,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",
azidose,"[1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",
respiratorische azidose,"[2, 0, 1, 1, 3, 0, 0, 1, 3, 0, 0, 0, 0, 0, 2, 1, 0, 3, 3, 1, 0, 0, 0, 0, 0, 1, 1]",
granulozytopenie,"[1, 0, 0, 0, 2, 0, 1, 0, 1, 0, 0, 1, 0, 2, 2, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0]",
atemwegsobstruktion nnb,"[1, 2, 0, 0, 2, 0, 1, 0, 1, 0, 1, 0, 1, 3, 2, 0, 0, 1, 2, 3, 1, 0, 1, 0, 0, 0, 1]",
albuminurie,"[1, 1, 0, 0, 1, 0, 0, 0, 2, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0]",
